Drug,ChEMBL_ID,MW,PSA,HBD,HBA,LogP,SMILES,Fu_median,N_fu,Fu_values,Fu_flag,PPB_value,Fu_from_PPB,N_ppb,Fu_source,Fu_final,pKa_exp,N_pka,pKa_values,LogD74_exp,N_logd,LogD_values,pKa_acid_pred,pKa_base_pred,LogD74_pred,Type,LogP_opera,LogP_chembl,LogP_diff,pKa_diff,LogD74_diff,MW_rdkit,PSA_rdkit,HBD_rdkit,HBA_rdkit,LogP_rdkit,MW_chembl,PSA_chembl,MW_diff_rdkit,PSA_diff_rdkit,HBD_diff_rdkit,HBA_diff_rdkit,LogP_diff_rdkit,LogD74_calc_exp,pKa_opera_relevant,LogD74_calc_opera,pKa_pkasolver,N_pka_pkasolver,Type_pkasolver
CODEINE,CHEMBL485,299.37,41.93,1,4,1.50,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,0.815,2,"0.93, 0.7",NA,NA,NA,NA,ChEMBL_Fu,0.815,8.2,7,"8.2, 8.22, 7.9, 8.2, 8.2, 9.48, 8.4",0.225,2,"0.22, 0.23",NA,7.95,0.48,BASE,1.14,1.5,0.3600000000000001,NA,0.255,299.3700000000001,41.93,1,4,1.5010999999999999,299.37,41.93,1.1368683772161603e-13,0,0,0,0.0010999999999998789,0.6361079658566213,7.95,0.8421667586178428,"8.01, 8.785",2,"BASE, ACID"
COLCHICINE,CHEMBL107,399.44,83.09,1,6,2.87,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,0.61,3,"0.61, 0.61, 0.61",NA,NA,NA,NA,ChEMBL_Fu,0.61,NA,0,NA,1.03,1,1.03,NA,7.16,1.1,BASE,1.3,2.87,1.57,NA,0.07000000000000006,399.4430000000002,83.09,1,6,2.871600000000001,399.44,83.09,0.0030000000002132765,0,0,0,0.001600000000000712,NA,7.16,2.672598149380029,"6.212, 9.577",2,"BASE, ACID"
COTININE,CHEMBL578211,176.22,33.20,0,2,1.37,CN1C(=O)CC[C@H]1c1cccnc1,NA,0,NA,NA,NA,NA,0,NA,NA,4.5,1,4.5,NA,0,NA,NA,3.52,0.07,BASE,0.07,1.37,1.3,NA,NA,176.21900000000002,33.2,0,2,1.3749,176.22,33.2,9.999999999763531e-4,0,0,0,0.0048999999999999044,1.3694535995071428,3.52,1.3699427526105263,"3.112, 4.966",2,"BASE, BASE"
DESIPRAMINE,CHEMBL72,266.39,15.27,1,2,3.53,CNCCCN1c2ccccc2CCc2ccccc21,0.155,4,"0.18, 0.15, 0.16, 0.011",NA,NA,NA,NA,ChEMBL_Fu,0.155,10.2,14,"10.23, 10.23, 10.44, 10.2, 5.32, 10.2, 9.8, 3.35, 10.16, 10.23, 10.2, 10.2, 10, 10.2",1.28,7,"1.05, 1.28, 1.45, 10.2, 0.89, 1.09, 1.39",NA,7.06,4.74,BASE,4.9,3.53,1.3700000000000006,NA,3.46,266.388,15.27,1,2,3.5328000000000026,266.39,15.27,0.0020000000000095497,0,0,0,0.0028000000000028002,0.7293122345056822,7.06,3.3665141619540835,"5.907, 9.533",2,"BASE, BASE"
DIAZEPAM,CHEMBL12,284.75,32.67,0,2,3.15,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0.02,9,"0.013, 0.02, 0.023, 0.023, 0.019, 0.016, 0.019, 0.02, 0.023",NA,NA,NA,NA,ChEMBL_Fu,0.02,3.55,5,"3.55, 3.55, 3.4, 3.6, 0.09",3.16,4,"2.79, 3.53, 3.64, 2.1",NA,3.6,2.91,BASE,2.91,3.15,0.23999999999999977,NA,0.25,284.74600000000004,32.67,0,2,3.153800000000002,284.75,32.67,0.003999999999962256,0,0,0,0.003800000000002246,3.1499386586061378,3.6,3.1499311744171266,3.351,1,BASE
DOTHIEPIN,CHEMBL1492500,295.45,3.24,0,2,4.68,CN(C)CC/C=C1\c2ccccc2CSc2ccccc21,NA,0,NA,NA,NA,NA,0,NA,NA,9.25,1,9.25,2.66,1,2.66,9.11,NA,4.48,ACID,4.49,4.68,0.1899999999999995,0.14000000000000057,1.8200000000000003,295.451,3.24,0,2,4.675700000000004,295.45,3.24,0.0010000000000331966,0,0,0,0.004299999999995308,4.673908350230957,9.11,4.671613431872295,9.305,1,BASE
DOXEPIN,CHEMBL1628227,279.38,12.47,0,2,3.96,CN(C)CCC=C1c2ccccc2COc2ccccc21,0.2,1,0.2,NA,NA,NA,NA,ChEMBL_Fu,0.2,9,5,"9, 8, 9, 9.37, 8",2.217,5,"2.27, 2.217, 2.199, 2.217, 2.3",NA,10.11,1.58,BASE,4.29,3.96,0.33000000000000007,NA,0.637,279.383,12.47,0,2,3.9624000000000033,279.38,12.47,0.002999999999985903,0,0,0,0.0024000000000032884,2.349225774488043,10.11,1.249154017748952,8.953,1,BASE
DULOXETINE,CHEMBL1175,297.42,21.26,1,3,4.63,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,NA,0,NA,NA,NA,NA,0,NA,NA,9.97,1,9.97,NA,0,NA,NA,5.24,3.77,BASE,3.77,4.63,0.8599999999999999,NA,NA,297.423,21.259999999999998,1,3,4.630900000000003,297.42,21.26,0.002999999999985903,3.552713678800501e-15,0,0,9.000000000032315e-4,2.0588326515625,5.24,4.627005761900819,9.844,1,BASE
ESCITALOPRAM,CHEMBL1508,324.40,36.26,0,3,3.81,CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,7.36,2.22,BASE,2.5,3.81,1.31,NA,NA,324.39900000000006,36.26,0,3,3.812980000000003,324.4,36.26,9.999999999195097e-4,0,0,0,0.0029800000000030913,NA,7.36,3.528509649999712,9.606,1,BASE
FLUOXETINE,CHEMBL41,309.33,21.26,1,2,4.44,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,0.06,5,"0.04, 0.063, 0.056, 0.079, 0.06",NA,NA,NA,NA,ChEMBL_Fu,0.06,10.2,6,"10.2, 10.2, 9.5, 10.2, 10.1, 10.5",2.92,2,"2.84, 3",NA,12.54,-1.09,BASE,4.05,4.44,0.39000000000000057,NA,4.01,309.33099999999996,21.259999999999998,1,2,4.435000000000003,309.33,21.26,9.999999999763531e-4,3.552713678800501e-15,0,0,0.004999999999997229,1.6393122345056828,12.54,-0.7000031461740015,9.746,1,BASE
FLUVOXAMINE,CHEMBL814,318.34,56.84,1,4,3.20,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,0.022,1,0.022,NA,NA,NA,NA,ChEMBL_Fu,0.022,9.45,2,"9.5, 9.4",2.41,1,2.41,NA,7.05,1.7,BASE,1.86,3.2,1.34,NA,0.7100000000000002,318.339,56.84,1,4,3.201500000000001,318.34,56.84,9.999999999763531e-4,0,0,0,0.001500000000000945,1.1461464931687888,7.05,3.0396264441462533,9.595,1,BASE
HYDRALAZINE,CHEMBL276832,160.18,63.83,2,4,0.92,NNc1nncc2ccccc12,0.12,1,0.12,NA,NA,NA,NA,ChEMBL_Fu,0.12,7.3,1,7.3,NA,0,NA,NA,7.15,0.81,BASE,1,0.92,0.07999999999999996,NA,NA,160.17999999999998,63.83,2,4,0.9153999999999998,160.18,63.83,2.842170943040401e-14,0,0,0,0.0046000000000002705,0.6660981089561331,7.15,0.7262240796437505,"2.728, 3.532, 5.767, 8.65",4,"BASE, BASE, BASE, ACID"
HYDROMORPHONE,CHEMBL398707,285.34,49.77,1,4,1.63,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5,0.86,1,0.86,NA,NA,NA,NA,ChEMBL_Fu,0.86,NA,0,NA,NA,0,NA,NA,7.38,1.28,BASE,1.57,1.63,0.05999999999999983,NA,NA,285.34299999999996,49.77,1,4,1.6302999999999999,285.34,49.77,0.002999999999985903,0,0,0,2.9999999999996696e-4,NA,7.38,1.338854885253324,"7.934, 8.622",2,"BASE, ACID"
HYDROXYCHLOROQUINE,CHEMBL1535,335.88,48.39,2,4,3.78,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,0.57,1,0.57,NA,NA,NA,NA,ChEMBL_Fu,0.57,NA,0,NA,NA,0,NA,9.88,8.56,2.77,AMPHOLYTE,4.6,3.78,0.8199999999999998,NA,NA,335.8790000000001,48.39,2,4,3.783000000000002,335.88,48.39,9.999999999195097e-4,0,0,0,0.003000000000002334,NA,NA,NA,"5.21, 5.784, 8.21, 8.968",4,"BASE, BASE, BASE, ACID"
