Drug,ChEMBL_ID,MW,PSA,HBD,HBA,LogP,SMILES,Fu_median,N_fu,Fu_values,Fu_flag,PPB_value,Fu_from_PPB,N_ppb,Fu_source,Fu_final,pKa_exp,N_pka,pKa_values,LogD74_exp,N_logd,LogD_values,pKa_acid_pred,pKa_base_pred,LogD74_pred,Type,LogP_opera,LogP_chembl,LogP_diff,pKa_diff,LogD74_diff,MW_rdkit,PSA_rdkit,HBD_rdkit,HBA_rdkit,LogP_rdkit,MW_chembl,PSA_chembl,MW_diff_rdkit,PSA_diff_rdkit,HBD_diff_rdkit,HBA_diff_rdkit,LogP_diff_rdkit,LogD74_calc_exp,pKa_opera_relevant,LogD74_calc_opera,pKa_pkasolver,N_pka_pkasolver,Type_pkasolver
THIOPENTAL SODIUM,CHEMBL738,264.33,58.20,2,3,1.35,CCCC(C)C1(CC)C(=O)[N-]C(=S)NC1=O.[Na+],NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,5.69,NA,-0.19,ACID,1.53,1.35,0.17999999999999994,NA,NA,264.326,60.27,1,3,-0.8619999999999983,264.33,58.2,0.003999999999962256,2.0700000000000003,1,0,2.2119999999999984,NA,5.69,-0.36838656812770454,"7.691, 8.148",2,"ACID, ACID"
LABETALOL,CHEMBL429,328.41,95.58,4,4,2.14,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.5,3,"0.5, 0.5, 0.961",NA,NA,NA,NA,ChEMBL_Fu,0.5,7.6,8,"7.4, 9.3, 2.1, 7.4, 9.3, 7.4, 9.4, 7.8",NA,0,NA,8.2,NA,3.03,ACID,3.09,2.14,0.9499999999999997,0.5999999999999996,NA,328.4120000000001,95.57999999999998,4,4,2.1353999999999997,328.41,95.58,0.002000000000066393,1.4210854715202004e-14,0,0,0.0046000000000003816,1.92755739720566,8.2,2.0761079658566204,"7.242, 8.619, 8.887, 9.145, 9.365",5,"BASE, BASE, ACID, ACID, ACID"
ACITRETIN,CHEMBL1131,326.44,46.53,1,2,5.17,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,6.13,NA,5.11,ACID,6.4,5.17,1.2300000000000004,NA,NA,326.4360000000001,46.53,1,2,5.167060000000005,326.44,46.53,0.0039999999999054126,0,0,0,0.0029399999999952797,NA,6.13,3.8772817094272547,5.253,1,ACID
FLURBIPROFEN,CHEMBL563,244.26,37.30,1,1,3.68,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,0.982,1,0.982,NA,NA,NA,NA,ChEMBL_Fu,0.982,4.26,8,"4.2, 4.6, 4.2, 4.6, 4.03, 4.3, 4.22, 4.5",0.875,2,"0.85, 0.9",3.84,NA,0.6,ACID,4.16,3.68,0.48,0.41999999999999993,0.275,244.265,37.3,1,1,3.6808000000000023,244.26,37.3,0.0049999999999954525,0,0,0,8.000000000021323e-4,0.5396854953655308,3.84,0.1198804018365025,4.483,1,ACID
IBUPROFEN,CHEMBL521,206.28,37.30,1,1,3.07,CC(C)Cc1ccc(C(C)C(=O)O)cc1,0.006,5,"0.006, 0.962, 0.006, 0.0023, 0.000122",NA,NA,NA,NA,ChEMBL_Fu,0.006,5.2,13,"5.2, 7.95, 5.2, 5.2, 2.92, 4.45, 5.4, 4.8, 4.67, 4.83, 5.35, 6.01, 6.3",1.1,1,1.1,4.91,NA,1.25,ACID,3.74,3.07,0.6700000000000004,0.29000000000000004,0.1499999999999999,206.28499999999997,37.3,1,1,3.073200000000001,206.28,37.3,0.004999999999967031,0,0,0,0.00320000000000098,0.8672683956650609,4.91,0.578596919521519,4.817,1,ACID
MESALAMINE,CHEMBL704,153.14,83.55,3,3,0.67,Nc1ccc(O)c(C(=O)O)c1,0.39,1,0.39,NA,NA,NA,NA,ChEMBL_Fu,0.39,NA,0,NA,NA,0,NA,3.82,NA,-2.77,ACID,0.81,0.67,0.14,NA,NA,153.137,83.55,3,3,0.6726000000000001,153.14,83.55,0.002999999999985903,0,0,0,0.0026000000000000467,NA,3.82,-2.9101142160671962,"3.34, 4.234, 5.85, 6.842",4,"BASE, ACID, ACID, ACID"
NELFINAVIR,CHEMBL584,567.80,101.90,4,6,4.75,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,NA,0,NA,NA,NA,NA,0,NA,NA,7.4350000000000005,2,"6.3, 8.57",NA,0,NA,7.44,NA,3.37,ACID,3.65,4.75,1.1,0.004999999999999893,NA,567.7960000000003,101.9,4,6,4.747620000000004,567.8,101.9,0.003999999999678039,0,0,0,0.002379999999996052,4.466117516367659,7.44,4.468509649999712,"5.976, 7.811, 8.439, 8.94, 9.212, 9.249, 9.693",7,"BASE, BASE, BASE, ACID, ACID, ACID, ACID"
OXCARBAZEPINE,CHEMBL1068,252.27,63.40,1,2,2.64,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,12.36,NA,2.17,ACID,2.17,2.64,0.4700000000000002,NA,NA,252.27299999999997,63.400000000000006,1,2,2.6422000000000008,252.27,63.4,0.002999999999957481,7.105427357601002e-15,0,0,0.002200000000000646,NA,12.36,2.6399952380818057,"6.26, 8.442",2,"BASE, ACID"
PIROXICAM,CHEMBL527,331.35,99.60,2,5,1.58,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,NA,0,NA,NA,99.15,0.008499999999999952,4,ChEMBL_PPB,0.008499999999999952,4.5,21,"6.5, 1.86, 7.43, 4.5, 6.3, 1.88, 5.3, 2.23, 1.89, 5.29, 1.89, 4.74, 0, 0.55, 5.3, 2.5, 1.9, 5.3, 1.86, 5.46, 5.3",-0.08,3,"-0.08, -0.3, 0",4.22,NA,-0.66,ACID,2.52,1.58,0.94,0.28000000000000025,0.5800000000000001,331.35300000000007,99.6,2,5,1.5809999999999997,331.35,99.6,0.0030000000000427463,0,0,0,9.999999999996678e-4,-1.3205464004928578,4.22,-1.6002868407722213,"2.984, 3.148, 3.378, 5.492, 8.516",5,"BASE, BASE, BASE, ACID, ACID"
PROBENECID,CHEMBL897,285.37,74.68,1,3,2.20,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,0.13,1,0.13,NA,NA,NA,NA,ChEMBL_Fu,0.13,3.205,2,"3.4, 3.01",NA,0,NA,3.79,NA,-0.4,ACID,3.21,2.2,1.0099999999999998,0.585,NA,285.36499999999995,74.68,1,3,2.1955,285.37,74.68,0.005000000000052296,0,0,0,0.0045000000000001705,-1.995027718546428,3.79,-1.4101065935714017,"3.008, 3.362",2,"ACID, BASE"
QUINAPRIL,CHEMBL1592,438.52,95.94,2,5,2.57,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O,NA,0,NA,NA,95.82,0.04180000000000006,1,ChEMBL_PPB,0.04180000000000006,NA,0,NA,NA,0,NA,6.81,NA,0.12,ACID,0.81,2.57,1.7599999999999998,NA,NA,438.5240000000003,95.94000000000001,2,5,2.5671,438.52,95.94,0.0040000000003033165,1.4210854715202004e-14,0,0,0.0028999999999999027,NA,6.81,1.8806510482037333,"5.147, 7.011",2,"ACID, BASE"
SULFASALAZINE,CHEMBL421,398.40,141.31,3,7,3.70,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,NA,0,NA,NA,NA,NA,0,NA,NA,2.325,2,"2.65, 2",-0.13,1,-0.13,4.01,NA,-0.96,ACID,2.43,3.7,1.27,1.6849999999999996,0.83,398.4000000000001,141.31,3,7,3.7016000000000013,398.4,141.31,1.1368683772161603e-13,0,0,0,0.001600000000001156,-1.3750036541172985,4.01,0.30982311302100074,"4.089, 4.096, 5.132, 5.93",4,"BASE, BASE, ACID, ACID"
WARFARIN,CHEMBL1464,308.33,67.51,1,4,3.61,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,0.011,10,"0.015, 0.295, 0.006, 0.013, 0.014, 0.009, 0.008, 0.0062, 0.0041, 0.05",NA,NA,NA,NA,ChEMBL_Fu,0.011,4.9,5,"5.1, 4.85, 5.1, 4.9, 0.41",0.8200000000000001,4,"0.12, 0.9, 0.86, 0.78",NA,NA,2.7,NEUTRAL,2.7,3.61,0.9099999999999997,NA,1.8800000000000001,308.3330000000001,67.50999999999999,1,4,3.609600000000003,308.33,67.51,0.0030000000000995897,1.4210854715202004e-14,0,0,3.999999999968473e-4,3.61,NA,3.61,5.562,1,ACID
ALBENDAZOLE,CHEMBL1483,265.34,67.01,2,4,3.24,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,NA,0,NA,NA,95.43,0.04569999999999996,1,ChEMBL_PPB,0.04569999999999996,NA,0,NA,3.57,1,3.57,10.58,NA,3.07,ACID,3.07,3.24,0.17000000000000037,NA,0.5,265.33799999999997,67.01,2,4,3.2433000000000005,265.34,67.01,0.0020000000000095497,0,0,0,0.0033000000000003027,NA,10.58,3.2397131592277795,"3.812, 5.677, 9.046, 9.965",4,"BASE, BASE, ACID, ACID"
ARIPIPRAZOLE,CHEMBL1112,448.39,44.81,1,4,4.86,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,0.006,2,"0.01, 0.002",NA,NA,NA,NA,ChEMBL_Fu,0.006,NA,0,NA,NA,0,NA,NA,7.05,5.36,BASE,5.52,4.86,0.6599999999999993,NA,NA,448.39400000000006,44.81,1,4,4.859300000000005,448.39,44.81,0.004000000000075943,0,0,0,6.999999999957041e-4,NA,7.05,4.699626444146253,"5.406, 6.158, 7.56, 10.511",4,"BASE, BASE, BASE, ACID"
CITALOPRAM,CHEMBL549,324.40,36.26,0,3,3.81,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,0.2,3,"0.2, 0.2, 0.047",NA,NA,NA,NA,ChEMBL_Fu,0.2,9.440000000000001,6,"9.38, 9.2, 9.72, 9.5, 9.7, 9.38",1.92,2,"1.94, 1.9",NA,7.36,2.22,BASE,2.5,3.81,1.31,NA,0.30000000000000027,324.39900000000006,36.26,0,3,3.812980000000003,324.4,36.26,9.999999999195097e-4,0,0,0,0.0029800000000030913,1.766057139701474,7.36,3.528509649999712,9.606,1,BASE
DAPSONE,CHEMBL1043,248.31,86.18,2,4,1.68,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,0.25,2,"0.25, 0.25",NA,NA,NA,NA,ChEMBL_Fu,0.25,NA,0,NA,NA,0,NA,NA,1.49,0.97,BASE,0.97,1.68,0.71,NA,NA,248.30700000000002,86.18,2,4,1.6838000000000002,248.31,86.18,0.002999999999985903,0,0,0,0.0038000000000002476,NA,1.49,1.6799994657013901,"2.637, 3.636, 9.871, 10.337",4,"BASE, BASE, ACID, ACID"
EFAVIRENZ,CHEMBL223228,315.68,38.33,1,2,4.07,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,0.0049499999999999995,2,"0.0052, 0.0047",NA,NA,NA,NA,ChEMBL_Fu,0.0049499999999999995,7.18,1,7.18,NA,0,NA,9.38,NA,3.87,ACID,3.87,4.07,0.20000000000000018,2.200000000000001,NA,315.67799999999994,38.33,1,2,4.073100000000001,315.68,38.33,0.002000000000066393,0,0,0,0.003100000000000769,3.6451858136517705,9.38,4.0654760233011284,"4.93, 6.702",2,"BASE, ACID"
LOPINAVIR,CHEMBL729,628.81,120.00,4,5,4.33,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,8.45,NA,4.69,ACID,4.73,4.33,0.40000000000000036,NA,NA,628.8139999999999,120,4,5,4.328140000000003,628.81,120,0.0039999999999054126,0,0,0,0.0018599999999970862,NA,8.45,4.2929222355492795,"6.175, 6.292, 6.95, 8.196, 8.609, 8.775, 9.346",7,"BASE, BASE, BASE, ACID, ACID, ACID, ACID"
LORATADINE,CHEMBL998,382.89,42.43,0,3,4.89,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,NA,0,NA,NA,NA,NA,0,NA,NA,4.58,1,4.58,4.4,2,"4.4, 4.4",8.63,NA,5.18,ACID,5.2,4.89,0.3100000000000005,4.050000000000001,0.7799999999999994,382.89100000000025,42.43,0,3,4.887800000000005,382.89,42.43,0.0010000000002605702,0,0,0,0.0021999999999948727,2.069343165655987,8.63,4.865151464020755,"4.322, 5.037",2,"BASE, BASE"
NAPROXEN,CHEMBL154,230.26,46.53,1,2,3.04,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,0.01,3,"0.989, 0.01, 1.21e-05",NA,NA,NA,NA,ChEMBL_Fu,0.01,4.1899999999999995,12,"4.01, 4.2, 4.18, 4.18, 8.41, 4.2, 4, 4.4, 3.29, 4.18, 4.2, 4.2",1.75,2,"3.3, 0.2",5,NA,0.78,ACID,3.18,3.04,0.14000000000000012,0.8100000000000005,0.97,230.26299999999998,46.53,1,2,3.036500000000001,230.26,46.53,0.002999999999985903,0,0,0,0.0034999999999989484,-0.17026770128372037,5,0.6382744749712068,4.509,1,ACID
NEFAZODONE,CHEMBL623,470.02,55.53,0,7,3.55,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,0.009,3,"0.009, 0.009, 0.01",NA,NA,NA,NA,ChEMBL_Fu,0.009,6.645,4,"6.79, 6.5, 6.5, 13.8",NA,0,NA,8.2,NA,4.41,ACID,4.47,3.55,0.9199999999999999,1.5549999999999997,NA,470.01700000000034,55.53,0,5,3.5519000000000025,470.02,55.53,0.0029999999996448423,0,0,2,0.0019000000000026773,2.7246693655573795,8.2,3.48610796585662,"4.092, 5.026, 6.649",3,"BASE, BASE, BASE"
PHENACETIN,CHEMBL16073,179.22,38.33,1,2,2.04,CCOc1ccc(NC(C)=O)cc1,0.8785000000000001,4,"0.47, 0.78, 0.98, 0.977",NA,NA,NA,NA,ChEMBL_Fu,0.8785000000000001,2.2,1,2.2,NA,0,NA,13.44,NA,1.58,ACID,1.58,2.04,0.45999999999999996,11.239999999999998,NA,179.219,38.33,1,2,2.0437,179.22,38.33,0.0010000000000047748,0,0,0,0.0036999999999998145,-3.160002740204286,13.44,2.039999603918906,"5.334, 11.173",2,"BASE, ACID"
PROPAFENONE,CHEMBL631,341.45,58.56,2,4,3.24,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,0.05,4,"0.05, 0.05, 0.038, 0.783",NA,NA,NA,NA,ChEMBL_Fu,0.05,9.27,10,"9.27, 9.27, 9.2, 9.31, 9.27, 9.27, 8.8, 9, 9.48, 9.3",1.77,3,"1.81, 1.6, 1.77",NA,7.18,3.13,BASE,3.33,3.24,0.08999999999999986,NA,1.3599999999999999,341.4510000000001,58.559999999999995,2,4,3.2414000000000023,341.45,58.56,0.00100000000009004,7.105427357601002e-15,0,0,0.0014000000000020663,1.3641806911413938,7.18,3.035185813651771,8.857,1,BASE
QUAZEPAM,CHEMBL1200472,386.80,15.60,0,2,5.03,Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,4.12,4.03,BASE,4.03,5.03,1,NA,NA,386.8010000000001,15.6,0,2,5.026200000000003,386.8,15.6,0.00100000000009004,0,0,0,0.003799999999997361,NA,4.12,5.029772138802352,3.175,1,BASE
TERFENADINE,CHEMBL17157,471.69,43.70,2,3,6.45,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,NA,0,NA,NA,99.16,0.008400000000000074,1,ChEMBL_PPB,0.008400000000000074,8.6,4,"8.6, 9.86, 8.5, 8.6",NA,0,NA,NA,8.5,4.1,BASE,5.23,6.45,1.2199999999999998,NA,NA,471.6850000000001,43.7,2,3,6.445800000000008,471.69,43.7,0.004999999999881766,0,0,0,0.004199999999991988,5.223427624403898,8.5,5.316804380011573,"8.785, 9.644, 10.392",3,"BASE, ACID, ACID"
TOLMETIN,CHEMBL1020,257.29,59.30,1,3,2.19,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,NA,0,NA,NA,99.7,0.0030000000000000027,3,ChEMBL_PPB,0.0030000000000000027,3.5,4,"3.5, 3.5, 3.5, 3.5",-1,1,-1,5.89,NA,1.27,ACID,2.79,2.19,0.6000000000000001,2.3899999999999997,2.27,257.289,59.300000000000004,1,2,2.1916200000000003,257.29,59.3,0.0010000000000331966,7.105427357601002e-15,0,1,0.001620000000000399,-1.7100546709946842,5.89,0.666782215788047,3.893,1,ACID
TRAZODONE,CHEMBL621,371.87,45.78,0,6,2.36,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,0.07350000000000001,4,"0.07, 0.07, 0.077, 0.98",NA,NA,NA,NA,ChEMBL_Fu,0.07350000000000001,6.73,7,"6.79, 6.79, 6.7, 6.73, 6.73, 6.79, 6.7",2.97,3,"2.54, 2.97, 2.99",NA,6.02,2.4,BASE,2.42,2.36,0.06000000000000005,NA,0.5700000000000003,371.8720000000001,45.78,0,4,2.3617,371.87,45.78,0.0020000000001232365,0,0,2,0.0017000000000000348,2.275854223275416,6.02,2.342262781398041,"2.987, 4.71, 6.982",3,"BASE, BASE, BASE"
ALLOPURINOL,CHEMBL1467,136.11,74.69,2,4,0.06,Oc1ncnc2[nH]ncc12,0.95,3,"0.95, 0.95, 0.97",NA,NA,NA,NA,ChEMBL_Fu,0.95,9.35,2,"9.7, 9",-0.44,1,-0.44,NA,1.83,-0.5,BASE,-0.5,0.06,0.56,NA,0.06,136.114,74.69,2,4,0.058499999999999885,136.11,74.69,0.003999999999990678,0,0,0,0.0015000000000001124,-1.894845729795276,1.83,0.059998831082859895,"3.146, 4.226, 5.14, 9.436",4,"BASE, BASE, ACID, ACID"
AMIODARONE,CHEMBL633,645.32,42.68,0,4,6.94,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,2e-4,4,"2e-04, 2e-04, 2e-04, 1e-04",NA,NA,NA,NA,ChEMBL_Fu,2e-4,8.73,8,"8.73, 8.73, 6.6, 9.37, 8.7, 8.73, 9.06, 4.84",7.7,2,"6.1, 9.3",NA,5.57,7.56,BASE,7.57,6.94,0.6299999999999999,NA,0.14000000000000057,645.3190000000002,42.68,0,4,6.936200000000007,645.32,42.68,9.999999998626663e-4,0,0,0,0.0037999999999938083,5.590147274581323,5.57,6.933623357214986,7.505,1,BASE
CANNABIDIOL,CHEMBL190461,314.47,40.46,2,2,5.85,C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1O,NA,0,NA,NA,90,0.09999999999999998,1,ChEMBL_PPB,0.09999999999999998,NA,0,NA,NA,0,NA,9.64,NA,6.38,ACID,6.38,5.85,0.5300000000000002,NA,NA,314.469,40.46,2,2,5.846500000000006,314.47,40.46,0.0010000000000331966,0,0,0,0.0034999999999936193,NA,9.64,5.847508059060553,"10.068, 10.481",2,"ACID, ACID"
CARBAMAZEPINE,CHEMBL108,236.27,46.33,1,1,3.39,NC(=O)N1c2ccccc2C=Cc2ccccc21,0.2895,6,"0.171, 0.299, 0.288, 0.291, 0.303, 0.276",NA,NA,NA,NA,ChEMBL_Fu,0.2895,NA,0,NA,1.77,5,"2.45, 2.19, 1.77, 1.77, 0.13",5.07,NA,0.12,ACID,2.45,3.39,0.94,NA,1.65,236.274,46.330000000000005,1,1,3.3872000000000018,236.27,46.33,0.003999999999990678,7.105427357601002e-15,0,0,0.0027999999999983594,NA,5.07,1.0579733879935618,"7.003, 9.155",2,"BASE, ACID"
CELECOXIB,CHEMBL118,381.38,77.98,1,4,3.51,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,0.0030499999999999998,2,"0.003, 0.0031",NA,NA,NA,NA,ChEMBL_Fu,0.0030499999999999998,NA,0,NA,NA,0,NA,12.97,0.87,2.97,AMPHOLYTE,3.57,3.51,0.06000000000000005,NA,NA,381.3790000000001,77.98,1,3,3.5139200000000006,381.38,77.98,9.999999999195097e-4,0,0,1,0.003920000000000812,NA,NA,NA,"2.512, 6.695, 9.165",3,"BASE, BASE, ACID"
CLOZAPINE,CHEMBL42,326.83,30.87,1,4,3.72,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,0.055,7,"0.05, 0.05, 0.055, 0.042, 0.058, 0.081, 0.101",NA,NA,NA,NA,ChEMBL_Fu,0.055,7.63,14,"7.63, 7.63, 8, 3.79, 7.7, 3.79, 7.96, 7.63, 7.9, 7.8, 7.63, 7.63, 7.5, 4.02",3.295,4,"2.993, 3.13, 3.46, 3.48",NA,9.78,0.85,BASE,3.23,3.72,0.4900000000000002,NA,2.445,326.83100000000013,30.869999999999997,1,4,3.7227000000000023,326.83,30.87,0.0010000000001468834,3.552713678800501e-15,0,0,0.002700000000002145,3.288918835931039,9.78,1.3381933224027933,"5.424, 8.054, 9.158, 10.681",4,"BASE, BASE, BASE, ACID"
CYCLOSPORINE,CHEMBL160,1202.63,NA,NA,NA,NA,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,0.036500000000000005,2,"0.068, 0.005",NA,NA,NA,NA,ChEMBL_Fu,0.036500000000000005,NA,0,NA,4.06,3,"4.4, 3.7, 4.06",NA,NA,2.92,NEUTRAL,2.92,NA,NA,NA,1.1399999999999997,1202.634999999999,278.8,5,12,3.2690000000000046,1202.63,NA,0.004999999998972271,NA,NA,NA,NA,NA,NA,NA,"5.615, 5.655, 5.715, 5.733, 5.763, 5.779, 5.78, 5.797, 5.969, 6.169, 7.284, 7.467, 7.643, 7.911, 8.146",15,"BASE, BASE, BASE, BASE, BASE, BASE, BASE, BASE, BASE, BASE, ACID, ACID, ACID, ACID, ACID"
DOMPERIDONE,CHEMBL219916,425.92,78.82,2,5,3.35,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,0.082,3,"0.08, 0.082, 0.598",NA,NA,NA,NA,ChEMBL_Fu,0.082,7.9,5,"7.9, 7.7, 8.06, 7.9, 7.9",NA,0,NA,6.55,4.24,1.89,AMPHOLYTE,3.9,3.35,0.5499999999999998,1.3500000000000005,NA,425.92000000000013,78.82,2,3,3.353200000000002,425.92,78.82,1.1368683772161603e-13,0,0,2,0.003200000000001868,NA,NA,NA,"5.981, 8.034, 9.188, 10.065",4,"BASE, BASE, ACID, ACID"
DRONABINOL,CHEMBL465,314.47,29.46,1,2,5.74,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,0.03,3,"0.03, 0.03, 0.05",NA,NA,NA,NA,ChEMBL_Fu,0.03,NA,0,NA,NA,0,NA,7.8,NA,7.01,ACID,7.16,5.74,1.42,NA,NA,314.46900000000005,29.46,1,2,5.735800000000006,314.47,29.46,9.999999999763531e-4,0,0,0,0.0041999999999946525,NA,7.8,5.594459536890707,10.631,1,ACID
DROSPIRENONE,CHEMBL1509,366.50,43.37,0,3,4.31,C[C@]12CCC(=O)C=C1[C@@H]1C[C@@H]1[C@H]1[C@@H]3[C@@H]4C[C@@H]4[C@@]4(CCC(=O)O4)[C@@]3(C)CC[C@@H]12,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,3,NEUTRAL,3,4.31,1.3099999999999996,NA,NA,366.50100000000015,43.370000000000005,0,3,4.305900000000004,366.5,43.37,0.0010000000001468834,7.105427357601002e-15,0,0,0.004099999999995774,4.31,NA,4.31,NA,0,
HALOPERIDOL,CHEMBL54,375.87,40.54,1,3,4.43,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,0.10200000000000001,8,"0.08, 0.08, 0.08, 0.124, 0.164, 0.161, 0.223, 0.08",NA,NA,NA,NA,ChEMBL_Fu,0.10200000000000001,8.65,14,"8.65, 8.65, 8.3, 8.25, 9.02, 8.3, 9.02, 8.65, 9.07, 8.65, 8.65, 8.5, 8.65, 8.3",2.49,6,"2.98, 0.18, 2.49, 2.42, 2.49, 3.99",NA,NA,4.29,NEUTRAL,4.29,4.43,0.13999999999999968,NA,1.7999999999999998,375.87100000000015,40.540000000000006,1,3,4.425600000000004,375.87,40.54,0.0010000000001468834,7.105427357601002e-15,0,0,0.004399999999995963,4.43,NA,4.43,"8.505, 9.396",2,"BASE, ACID"
IMATINIB,CHEMBL941,493.62,86.28,2,7,4.59,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,0.05,1,0.05,NA,NA,NA,NA,ChEMBL_Fu,0.05,8.07,1,8.07,0.9,1,0.9,NA,8.35,3.03,BASE,4.03,4.59,0.5599999999999996,NA,2.13,493.6150000000002,86.28000000000002,2,7,4.590320000000004,493.62,86.28,0.004999999999824922,1.4210854715202004e-14,0,0,3.2000000000387274e-4,3.8358542232754163,8.35,3.593816388651777,"3.511, 4.388, 4.837, 5.24, 8.18, 9.079, 9.144, 10.163",8,"BASE, BASE, BASE, BASE, BASE, ACID, BASE, ACID"
LAMOTRIGINE,CHEMBL741,256.10,90.71,2,5,2.01,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,0.45,1,0.45,NA,NA,NA,NA,ChEMBL_Fu,0.45,5.195,4,"5.7, 5.19, 5.19, 5.2",0.27,2,"0.54, 0",NA,5.05,2.57,BASE,2.57,2.01,0.56,NA,2.3,256.09599999999995,90.71,2,5,2.0098,256.1,90.71,0.004000000000075943,0,0,0,1.9999999999997797e-4,2.0072995670705134,5.05,2.0080643976056787,"3.358, 3.625, 4.798, 5.248, 7.644, 7.978",6,"BASE, BASE, BASE, BASE, ACID, ACID"
NEVIRAPINE,CHEMBL57,266.30,58.12,1,4,2.65,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,0.32,1,0.32,NA,NA,NA,NA,ChEMBL_Fu,0.32,NA,0,NA,1.81,1,1.81,NA,2.92,1.81,BASE,1.81,2.65,0.8399999999999999,NA,0,266.30400000000003,58.120000000000005,1,4,2.6512200000000004,266.3,58.12,0.004000000000019099,7.105427357601002e-15,0,0,0.001220000000000443,NA,2.92,2.6499856193962072,"3.09, 3.478, 4.214, 4.446, 9.828",5,"BASE, BASE, BASE, BASE, ACID"
NIFEDIPINE,CHEMBL193,346.34,107.77,1,7,2.18,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],0.041999999999999996,4,"0.04, 0.04, 0.044, 0.949",NA,NA,NA,NA,ChEMBL_Fu,0.041999999999999996,1,1,1,3.17,1,3.17,NA,4.93,2.53,BASE,2.53,2.18,0.34999999999999964,NA,0.6400000000000001,346.33900000000006,107.77000000000001,1,7,2.1756,346.34,107.77,9.999999999195097e-4,1.4210854715202004e-14,0,0,0.0043999999999999595,2.1799998271042873,4.93,2.178530906093816,4.807,1,BASE
