Drug,SMILES,Type,pKa_exp,pkasolver_pKa_acid,opera_pKa_acid,molgpka_pKa_acid,unipka_pKa_acid,pkasolver_pKa_base,opera_pKa_base,molgpka_pKa_base,unipka_pKa_base,pkasolver_FG_acid,pkasolver_FG_base,molgpka_acid_raw,molgpka_base_raw,molgpka_acid_N,molgpka_base_N
Naltrexone,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,BASE,8.1,9.00490478515625,NA,9.08,9.304787286,8.49729148864746,6.87,7.26,8.186908652,alcohol,aliphatic_amine,"9.08, 12.86",7.26,2,1
Nicotine,CN1CCC[C@H]1c1cccnc1,NEUTRAL,8.08,NA,NA,NA,NA,8.292937088012696,NA,8.32,8.091322039,NA,aliphatic_amine,NA,"5.6024704, 8.32",0,2
Nortriptyline,CNCCC=C1c2ccccc2CCc2ccccc21,BASE,10.1,NA,NA,NA,NA,9.793729705810547,10.71,10.27,10.00607382,NA,aliphatic_amine,NA,10.27,0,1
Paroxetine,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,NEUTRAL,9.805,NA,NA,NA,NA,9.788445777893067,NA,9.76,9.698828808,NA,aliphatic_amine,NA,9.76,0,1
Pefloxacin,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,AMPHOLYTE,NA,6.607101039886475,-1.71,6.59,7.988910863,6.860183143615723,7.17,7.2,5.560942976,carboxylate,aliphatic_amine,6.59,"3.556766, 6.61, 7.2",1,3
Prednisolone,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,ACID,0,6.693532009124755,8.59,NA,9.781829575,NA,NA,NA,3.022146542,alcohol,NA,"12.32, 12.64, 11.95",NA,3,0
Propranolol,CC(C)NCC(O)COc1cccc2ccccc12,BASE,9.475,NA,NA,NA,NA,9.543197212219239,8.86,9.05,9.4855458,NA,aliphatic_amine,13.77,9.05,1,1
Quinine,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,BASE,8.56,10.594068183898926,NA,NA,NA,9.416836929321288,8.25,9.28,8.145216558,alcohol,aliphatic_amine,12.87,"5.0054154, 9.28",1,2
Risperidone,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,BASE,8.3,NA,NA,NA,NA,7.873133888244629,7.61,7.97,7.901076887,NA,aliphatic_amine,NA,"7.97, 3.1503768, 3.0089874",0,3
Sumatriptan,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,ACID,9.5,7.934595928192139,10.22,NA,10.60273581,8.289345149993897,NA,9.24,8.944537559,sulfonamide,aliphatic_amine,"11.1, 12.38","4.69, 9.24, 2.6656632",2,3
Temazepam,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,BASE,NA,10.291334495544433,NA,NA,8.640871638,NA,4.19,5.06,NA,alcohol,NA,11.73,5.06,1,1
Timolol,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,BASE,8.8,NA,NA,NA,NA,9.198559799194335,9.6,9.15,9.676896409,NA,aliphatic_amine,13.57,"4.27, 9.15",1,2
