Drug,SMILES,pKa_values,pKa_pkasolver,unipka_acidic_macro_pKa,unipka_basic_macro_pKa,unipka_error,pKa_acid_v2,pKa_base_v2
Aripiprazole,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,,"5.406, 6.158, 7.56, 10.511",,7.875325242,,10.51124954,7.559629765
Citalopram,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,"9.38, 9.2, 9.72, 9.5, 9.7, 9.38",9.606,,8.913747263,,,9.605813484
Dapsone,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,,"2.637, 3.636, 9.871, 10.337",,,,9.870734501,3.63627389
Efavirenz,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,7.18,"4.93, 6.702",9.996569682,,,4.930407848,
Lopinavir,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,,"6.175, 6.292, 6.95, 8.196, 8.609, 8.775, 9.346",,3.146939938,,8.196475296,
Loratadine,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,4.58,"4.322, 5.037",,4.666054232,,5.036717663,4.322069597
Naproxen,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,"4.01, 4.2, 4.18, 4.18, 8.41, 4.2, 4, 4.4, 3.29, 4.18, 4.2, 4.2",4.509,4.209588544,,,4.509268818,
Nefazodone,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,"6.79, 6.5, 6.5, 13.8","4.092, 5.026, 6.649",,7.425226761,,,6.649334564
Phenacetin,CCOc1ccc(NC(C)=O)cc1,2.2,"5.334, 11.173",,,,,
Propafenone,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,"9.27, 9.27, 9.2, 9.31, 9.27, 9.27, 8.8, 9, 9.48, 9.3",8.857,,9.018863854,,,8.856993103
Quazepam,Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21,,3.175,,3.582733398,,,
Fexofenadine,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,"4.2, 4.7, 9.3","5.497, 7.368, 7.899, 8.704",9.016579895,4.362147744,,5.496658096,7.367578735
Tolmetin,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,"3.5, 3.5, 3.5, 3.5",3.893,4.31299941,,,3.89336401,
Trazodone,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,"6.79, 6.79, 6.7, 6.73, 6.73, 6.79, 6.7","2.987, 4.71, 6.982",,7.472564385,,,6.982229881
Allopurinol,Oc1ncnc2[nH]ncc12,"9.7, 9","3.146, 4.226, 5.14, 9.436",8.738347108,,,5.140163507,9.436239052
Amiodarone,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,"8.73, 8.73, 6.6, 9.37, 8.7, 8.73, 9.06, 4.84",7.505,,8.394369678,,,7.505460777
Cannabidiol,C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1O,,"10.068, 10.481",9.484321496,,,10.06820736,
Carbamazepine,NC(=O)N1c2ccccc2C=Cc2ccccc21,,"7.003, 9.155",,,,9.155458641,
Celecoxib,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,,"2.512, 6.695, 9.165",9.67281207,,,6.695106449,
Clozapine,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,"7.63, 7.63, 8, 3.79, 7.7, 3.79, 7.96, 7.63, 7.9, 7.8, 7.63, 7.63, 7.5, 4.02","5.424, 8.054, 9.158, 10.681",,8.022353918,,8.054324512,9.157950306
Cyclosporine,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,,"5.615, 5.655, 5.715, 5.733, 5.763, 5.779, 5.78, 5.797, 5.969, 6.169, 7.284, 7.467, 7.643, 7.911, 8.146",10.45259388,3.810944219,,7.28431057,
Domperidone,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,"7.9, 7.7, 8.06, 7.9, 7.9","5.981, 8.034, 9.188, 10.065",,7.873477149,,,10.06471512
Dronabinol/THC,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,,10.631,10.00868846,,,10.63144974,
Drospirenone,C[C@]12CCC(=O)C=C1[C@@H]1C[C@@H]1[C@H]1[C@@H]3[C@@H]4C[C@@H]4[C@@]4(CCC(=O)O4)[C@@]3(C)CC[C@@H]12,,,,,,,
Haloperidol,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,"8.65, 8.65, 8.3, 8.25, 9.02, 8.3, 9.02, 8.65, 9.07, 8.65, 8.65, 8.5, 8.65, 8.3","8.505, 9.396",,8.340421122,,9.39608799,8.505235062
Imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,8.07,"3.511, 4.388, 4.837, 5.24, 8.18, 9.079, 9.144, 10.163",,7.815788918,,9.079437485,9.14361599
Lamotrigine,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,"5.7, 5.19, 5.19, 5.2","3.358, 3.625, 4.798, 5.248, 7.644, 7.978",,4.186398479,,7.978097191,7.644326744
Nevirapine,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,,"3.09, 3.478, 4.214, 4.446, 9.828",,3.97308877,,9.827936935,4.213680525
Nifedipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],1,4.807,9.675294011,,,,4.806663103
Nimodipine,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,,4.812,10.06973332,,,,4.811790447
Nitrendipine,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,,4.775,10.18604317,,,,4.774965687
Olanzapine,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,"8, 4.66, 8.5, 7.8","5.07, 7.944, 8.718, 10.061",,7.644094064,,7.943711758,8.718348446
Oxazepam,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,"0.06, 0.27","6.46, 10.188, 11.119",8.284693808,,,10.18825428,
Paclitaxel,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,,"4.522, 7.772, 7.933, 8.39, 8.506",9.874135606,,,7.771582241,
Praziquantel,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,,5.664,,,,,
Prednisone,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,,"6.416, 7.523",9.626511577,,,6.415539513,
Primidone,CCC1(c2ccccc2)C(=O)NCNC1=O,,"5.693, 8.744, 9.262",10.64587219,,,8.744310226,
Ritonavir,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,,"4.444, 5.106, 5.247, 5.423, 5.478, 7.564, 8.188, 8.522, 8.647",,3.690548628,,4.444089727,5.422878103
Rivaroxaban,O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,,"2.892, 3.792, 5.178, 8.717",,,,8.716873493,
Rofecoxib,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,,,,,,,
Spironolactone,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@H]12,,,,,,,
Tacrolimus,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC.O,,"6.322, 7.365, 7.571, 8.369",7.951761076,3.256255896,,7.364769173,
Zaleplon,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,,"2.647, 2.711, 3.784",,,,,
