Drug,SMILES
LIDOCAINE,CCN(CC)CC(=O)Nc1c(C)cccc1C
LORAZEPAM,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O
MIRTAZAPINE,CN1CCN2c3ncccc3Cc3ccccc3C2C1
PANTOPRAZOLE,COc1ccnc(C[S+]([O-])c2nc3cc(OC(F)F)ccc3[nH]2)c1OC
PENTOXIFYLLINE,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O
PROPYLTHIOURACIL,CCCc1cc(=O)[nH]c(=S)[nH]1
QUETIAPINE,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1
REBOXETINE,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1
THEOBROMINE,Cn1cnc2c1c(=O)[nH]c(=O)n2C
THIOPENTAL SODIUM,CCCC(C)C1(CC)C(=O)[N-]C(=S)NC1=O.[Na+]
LABETALOL,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1
ACITRETIN,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C
FLURBIPROFEN,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1
IBUPROFEN,CC(C)Cc1ccc(C(C)C(=O)O)cc1
MESALAMINE,Nc1ccc(O)c(C(=O)O)c1
NELFINAVIR,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C
OXCARBAZEPINE,NC(=O)N1c2ccccc2CC(=O)c2ccccc21
PIROXICAM,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O
PROBENECID,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1
QUINAPRIL,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O
SULFASALAZINE,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O
WARFARIN,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O
ALBENDAZOLE,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1
ARIPIPRAZOLE,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1
CITALOPRAM,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
DAPSONE,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1
EFAVIRENZ,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1
LOPINAVIR,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O
LORATADINE,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1
NAPROXEN,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1
NEFAZODONE,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1
PHENACETIN,CCOc1ccc(NC(C)=O)cc1
PROPAFENONE,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1
QUAZEPAM,Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21
TERFENADINE,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
TOLMETIN,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1
TRAZODONE,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12
ALLOPURINOL,Oc1ncnc2[nH]ncc12
AMIODARONE,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1
CANNABIDIOL,C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1O
CARBAMAZEPINE,NC(=O)N1c2ccccc2C=Cc2ccccc21
CELECOXIB,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
CLOZAPINE,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
CYCLOSPORINE,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C
DOMPERIDONE,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1
DRONABINOL,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21
DROSPIRENONE,C[C@]12CCC(=O)C=C1[C@@H]1C[C@@H]1[C@H]1[C@@H]3[C@@H]4C[C@@H]4[C@@]4(CCC(=O)O4)[C@@]3(C)CC[C@@H]12
HALOPERIDOL,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
IMATINIB,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
LAMOTRIGINE,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1
NEVIRAPINE,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1
NIFEDIPINE,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]
NIMODIPINE,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1
NITRENDIPINE,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1
OLANZAPINE,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1
OXAZEPAM,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O
PACLITAXEL,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O
PRAZIQUANTEL,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1
PREDNISONE,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
PRIMIDONE,CCC1(c2ccccc2)C(=O)NCNC1=O
RITONAVIR,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1
RIVAROXABAN,O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1
ROFECOXIB,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1
SPIRONOLACTONE,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@H]12
TACROLIMUS,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC.O
ZALEPLON,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1
AZTREONAM,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O
PENICILLIN G,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O
CAPTOPRIL,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O
CEFONICID,O=C(O)C1=C(CSc2nnnn2CS(=O)(=O)O)CS[C@@H]2[C@H](NC(=O)[C@H](O)c3ccccc3)C(=O)N12
CEFOTAXIME,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@H]12)c1csc(N)n1
CEFOXITIN,CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21
EMTRICITABINE,Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F
ENALAPRILAT,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O.O.O
HYDROCHLOROTHIAZIDE,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
LEVOFLOXACIN,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.O
METHOTREXATE,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
METHYLDOPA,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O
TENOFOVIR,C[C@H](Cn1cnc2c(N)ncnc21)OCP(=O)(O)O.O
TOPIRAMATE,CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1
VIGABATRIN,C=CC(N)CCC(=O)O
ATENOLOL,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
AZITHROMYCIN,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
BACLOFEN,NCC(CC(=O)O)c1ccc(Cl)cc1
CHLOROQUINE,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
CIMETIDINE,CN/C(=N\CCSCc1nc[nH]c1C)NC#N
DISOPYRAMIDE,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C
FAMOTIDINE,NC(N)=Nc1nc(CSCC/C(N)=N/S(N)(=O)=O)cs1
FLECAINIDE,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F
FLUCONAZOLE,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
METFORMIN,CN(C)C(=N)NC(=N)N
METOCLOPRAMIDE,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC
NADOLOL,CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2
OFLOXACIN,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
PILSICAINIDE,Cc1cccc(C)c1NC(=O)CC12CCCN1CCC2
PSEUDOEPHEDRINE,CN[C@@H](C)[C@@H](O)c1ccccc1
PYRIDOSTIGMINE,CN(C)C(=O)Oc1ccc[n+](C)c1
PYRIMETHAMINE,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
SOTALOL,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1
STAVUDINE,Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)[nH]c1=O
TERBUTALINE,CC(C)(C)NCC(O)c1cc(O)cc(O)c1
DIGOXIN,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O
LAMIVUDINE,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1
LEVETIRACETAM,CC[C@@H](C(N)=O)N1CCCC1=O
NIZATIDINE,CNC(=C[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1
AMPICILLIN,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O
CEPHALEXIN,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1.O
GABAPENTIN,NCC1(CC(=O)O)CCCCC1
PREGABALIN,CC(C)C[C@H](CN)CC(=O)O
ACYCLOVIR,Nc1nc2c(ncn2COCCO)c(=O)[nH]1
APAZONE,CCCC1C(=O)N2C(N(C)C)=Nc3ccc(C)cc3N2C1=O
CANDESARTAN,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
CEFPROZIL,CC=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1
CIPROFLOXACIN,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
NITROFURANTOIN,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1
PENICILLIN V,CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)O
SULFISOXAZOLE,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C
AMISULPRIDE,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC
PALIPERIDONE,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O
ROXITHROMYCIN,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)/C(=N\OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O
ACETAZOLAMIDE,CC(=O)Nc1nnc(S(N)(=O)=O)s1
LEVONORGESTREL,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC
MEDROXYPROGESTERONE ACETATE,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
FLEROXACIN,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1
FEXOFENADINE,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
