Drug,MolWt,ExactMolWt,HeavyAtomMolWt,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,MolLogP,MolMR,RingCount,NumAromaticRings,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumSaturatedRings,NumSaturatedCarbocycles,NumSaturatedHeterocycles,HeavyAtomCount,NumHeteroatoms,NumHeterocycles,FractionCSP3,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,qed,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,NumAmideBonds,Phi,SPS,NHOHCount,NOCount
THEOPHYLLINE,198.18199999999996,198.07529018,188.10199999999998,104.18,1,3,0,-1.8643999999999998,50.18950000000002,2,2,0,0,2,0,0,0,0,0,14,7,2,0.2857142857142857,-1.8900000000000003,10.192576383154416,3.1095317532882008,1.0618574497884699,77.93479684557177,0.5360024354006914,9.585421958697399,7.735487636617226,7.735487636617226,6.125897657686227,3.7175834945556487,3.7175834945556487,2.8055107915379596,2.8055107915379596,2.035704289978214,2.035704289978214,1.266017870441531,1.266017870441531,0,0,0,2.2638671365167182,10.142857142857142,3,7
THIOPENTAL,242.34400000000002,242.108898816,224.19999999999996,58.2,2,3,4,1.3498999999999999,65.67940000000003,1,0,1,0,0,0,1,1,0,1,16,5,1,0.7272727272727273,-0.9700000000000002,13.096533599467731,4.908146397569112,1.9584483355799363,101.1643898327749,0.5777126778981032,12.344934982691242,9.9234154841408575,10.739912065068584,7.484434885828627,5.654413082910466,6.062661373374329,4.252001201594507,4.66024949205837,3.385115542605425,3.5892396878373565,2.360222660594406,2.545618066543705,1,1,2,4.017481512929399,21.3125,2,4
TINIDAZOLE,247.27599999999998,247.062676896,234.17199999999997,95.1,0,5,5,0.5344200000000001,57.946200000000026,1,1,0,0,1,0,0,0,0,0,16,8,1,0.625,-1.44,12.62868131868132,4.6019453326954,2.7825859160309396,93.17326768432252,0.5584635043283493,12.344934982691244,9.081552851568459,9.898049432496185,7.371009241333563,4.7404677367383465,6.561834941784265,3.3087284503148213,5.781467105502188,2.286813145233041,3.971048610251137,1.253078274756188,2.0024982385596233,0,0,0,3.6322813157876928,11.625,0,7
VALPROIC ACID,144.214,144.115029752,128.08599999999998,37.3,1,1,5,2.2874,40.9418,0,0,0,0,0,0,0,0,0,0,10,2,0,0.875,-0.53,9.47,5.270170381876186,3.4868174048208713,62.24960168084558,0.6423719745530849,7.983127663125442,6.7612392798996375,6.7612392798996375,4.718744015013407,3.947116220877545,3.947116220877545,2.612511362237168,2.612511362237168,1.6235145467500236,1.6235145467500236,1.0882115674274204,1.0882115674274204,0,0,0,4.990851351636748,10.3,1,2
ZONISAMIDE,212.23000000000002,212.025563116,204.16599999999997,86.19000000000001,1,4,2,0.6163,50.820200000000014,2,2,0,1,1,0,0,0,0,0,14,6,1,0.125,-1.4,9.166608996539793,3.07139221415779,1.7539787417408788,80.54400990584925,0.7899579227288236,10.181798275874714,7.174064884490088,7.990561465417814,6.561461509579255,3.8989195169235282,5.614340973570852,2.93262554634757,4.547021478014453,1.790051102211571,2.4658570414447407,1.2327661761804283,1.822102238951968,0,0,0,2.011017964442934,12.071428571428571,2,5
ALPRAZOLAM,308.77200000000005,308.082874096,295.668,43.07,0,3,1,3.5801200000000017,86.89100000000002,4,3,1,2,1,0,1,0,0,0,22,5,2,0.11764705882352941,-2.459999999999999,13.220144300303355,5.0704066487242425,2.036578034945077,132.66005687193478,0.6893709827759431,15.104083527755582,11.992727789712616,12.748656735731071,10.737183443017884,7.049121653850143,7.42708612685937,5.191182528867209,5.6276183093391925,3.7723156901806956,4.0074127929684344,2.7926563810206866,2.9647594049735533,0,0,0,3.046886707152365,13.090909090909092,0,4
AMITRIPTYLINE,277.411,277.183049736,254.22699999999992,3.24,0,1,3,4.168600000000003,90.54200000000006,3,2,1,2,0,1,0,0,0,0,21,1,0,0.3,-1.8599999999999994,14.093099980398282,6.275955030244733,3.0846273208160424,127.47243372522377,0.8136783893547587,14.656489770562878,12.971793142952784,12.971793142952784,10.254020195423491,7.769385701641229,7.769385701641229,6.024044450132914,6.024044450132914,4.2035214253293,4.2035214253293,3.1035522228824806,3.1035522228824806,0,0,0,4.2117934149391685,13.571428571428571,0,1
AMLODIPINE,408.88200000000006,408.14519958,383.68200000000013,99.88000000000001,2,7,8,2.266300000000001,105.57710000000003,2,1,1,1,0,0,1,0,0,0,28,8,1,0.4,-2.349999999999999,21.9445555794135,10.264345352315052,4.729428437226229,169.0122544992623,0.5023259105130484,20.6814337969452,16.211734665212493,16.967663611230947,13.455126120231858,8.94203664689839,9.320001119907618,6.063742103008157,6.470942229748763,4.270333073683513,4.614539121589248,3.1184859688048063,3.3633282895030043,1,1,0,8.044517752506154,16.678571428571427,3,7
AMOXAPINE,313.788,313.09818981199993,297.66,36.86,1,4,0,3.4292000000000025,88.60770000000004,4,2,2,2,0,0,2,1,0,1,22,5,2,0.23529411764705882,-2.0399999999999996,13.611106605640474,5.629587732114244,2.4456707425611706,133.92337538654567,0.8093498766353519,14.940946820939052,12.05051896354658,12.806447909565035,10.809663088089318,7.422997374340849,7.8009618473500755,5.382726484697242,5.8191622651692265,3.9105674387483513,4.14566454153609,2.8122574839958574,2.984360507948725,0,0,0,3.482950853073307,16.954545454545453,1,4
BUPIVACAINE,288.43500000000006,288.22016351599996,260.21099999999996,32.34,1,2,5,3.8965400000000026,88.66570000000006,2,1,1,1,0,0,1,1,0,1,21,3,1,0.6111111111111112,-1.35,16.02802883290633,7.599376898652427,4.068068371596222,128.27609529258223,0.891012713024742,15.242276208189782,13.61461043102816,13.61461043102816,10.1302289553358,8.242825709114285,8.242825709114285,6.157161444194027,6.157161444194027,4.444516845696183,4.444516845696183,3.134886313422913,3.134886313422913,1,1,1,5.800144383034446,19.476190476190474,1,3
BUPRENORPHINE,467.6500000000003,467.303558792,426.32200000000023,62.16,2,5,4,4.413800000000004,130.19960000000003,8,1,7,1,0,5,2,5,4,1,34,5,2,0.7931034482758621,-1.3,21.940390200909402,6.330274445991157,2.250287558095378,203.36547646305274,0.686738022566705,23.888540578131746,21.48620001324428,21.48620001324428,16.016587629811113,13.553134539386745,13.553134539386745,13.79486419769349,13.79486419769349,11.856819890287959,11.856819890287959,9.580256519994688,9.580256519994688,7,0,0,4.084961512467399,43.88235294117647,2,5
BUPROPION,239.746,239.107691876,221.60199999999995,29.1,1,2,3,3.2993000000000023,68.13320000000003,1,1,0,1,0,0,0,0,0,0,16,3,0,0.46153846153846156,-0.86,13.206050198150596,4.980637186859673,3.950731413547198,102.00064843080672,0.8204937720146613,12.344934982691242,10.17296410942122,10.928893055439676,7.293512317148133,5.369174125161716,5.7471385981709435,4.990623522420323,5.427059302892308,2.1519374104478235,2.387034513235562,1.6068132037424059,1.7971010518816062,1,1,0,4.110909044277776,13.5625,1,2
CAFFEINE,194.194,194.08037556,184.114,61.82,0,3,0,-1.0293,51.19600000000001,2,2,0,0,2,0,0,0,0,0,14,6,2,0.375,-1.8499999999999999,8.73523326923911,2.5679479011227926,0.8757741627139433,79.02895701814933,0.5384628262372215,10.455665446700477,8.182701232117184,8.182701232117184,6.536581260209186,4.107927642957933,4.107927642957933,3.2334489655756182,3.2334489655756182,2.3165128954882372,2.3165128954882372,1.4711798853237632,1.4711798853237632,0,0,0,1.6022588528257544,11.071428571428571,0,6
CHLORAMPHENICOL,323.13199999999995,322.01232684400003,311.03599999999994,112.70000000000002,3,5,6,0.9089999999999998,72.56670000000003,1,1,0,1,0,0,0,0,0,0,20,9,0,0.36363636363636365,-1.4099999999999997,16.64379236148467,7.392954608862727,4.309031435917423,123.81547365578696,0.4090709280478973,15.284092571446669,10.070873269423847,11.582731161460758,9.362279762904677,5.48271598351556,6.355587544459529,3.8918314138637067,4.988096073409549,2.549103929777519,2.945495981288462,1.495665801296222,1.6216539589659646,2,0,1,6.1523400723896176,13.85,3,7
