INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,SMILES,ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED,BIOCONCENTRATION_FACTOR_OPERA_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,BOILING_POINT_DEGC_OPERA_PRED,HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED,OPERA_KM_DAYS_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,MELTING_POINT_DEGC_OPERA_PRED,OPERA_PKAA_OPERA_PRED,OPERA_PKAB_OPERA_PRED,VAPOR_PRESSURE_MMHG_OPERA_PRED,WATER_SOLUBILITY_MOL/L_OPERA_PRED,LOGD5.5,LOGD7.4,READY_BIO_DEG
SOTALOL,Approved Name,DTXSID0023589,Sotalol,CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,1.3803842646028866E-11,2.041737944669529,3.3884415613920256,290,1.8620871366628656E-9,0.13489628825916536,8.54,97.72372209558107,0.24,207,8.12,N/A,4.1686938347033463E-10,0.005623413251903491,0.24,0.16,0
STAVUDINE,Approved Name,DTXSID1023819,Stavudine,CC1=CN([C@@H]2O[C@H](CO)C=C2)C(=O)NC1=O,6.025595860743569E-11,1.1220184543019633,3.3884415613920256,259,2.089296130854041E-9,0.19498445997580455,9.07,56.23413251903491,-0.72,149,8.69,N/A,1.4125375446227554E-8,0.1318256738556407,-0.72,-0.74,1
TERBUTALINE,Approved Name,DTXSID7021310,Terbutaline,CC(C)(C)NCC(O)C1=CC(O)=CC(O)=C1,1.621810097358933E-11,3.630780547701014,3.9810717055349722,298,3.4673685045253096E-11,0.11748975549395294,8.41,100,0.9,148,N/A,8.51,1.6595869074375596E-7,0.046773514128719815,-2.11,-0.24,1
DIGOXIN,Approved Name,DTXSID5022934,Digoxin,C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3CC[C@@]4(C)[C@H](CC[C@@H]5[C@@H]4C[C@@H](O)[C@]4(C)[C@H](CC[C@]54O)C4=CC(=O)OC4)C3)O[C@@H]2C)O[C@@H]1C,8.317637711026709E-11,10,257.03957827688646,409,1.3182567385564046E-10,0.3311311214825911,9.56,87096.35899560814,1.26,222,N/A,5.82,7.413102413009162E-10,0.00007585775750291836,0.77,1.25,0
LAMIVUDINE,Approved Name,DTXSID7023194,Lamivudine,NC1=NC(=O)N(C=C1)[C@@H]1CS[C@H](CO)O1,2.7542287033381634E-11,1.3803842646028848,2.9512092266663856,330,1E-8,0.1548816618912481,8.4,41.68693834703355,-0.93,187,7.25,N/A,4.265795188015934E-10,0.2137962089502232,-0.94,-1.31,0
LEVETIRACETAM,Approved Name,DTXSID9023207,Levetiracetam,CC[C@H](N1CCCC1=O)C(N)=O,5.6234132519034904E-12,2.2387211385683394,3.548133892335755,309,2.344228815319918E-9,0.1148153621496883,9.06,30.19951720402016,-0.82,144,9.42,N/A,0.000018620871366628657,0.5495408738576245,-0.82,-0.82,0
NIZATIDINE,Approved Name,DTXSID5023376,Nizatidine,CNC(NCCSCC1=CSC(CN(C)C)=N1)=C[N+]([O-])=O,1.7782794100389227E-11,4.677351412871983,3.548133892335755,342,1.6595869074375631E-9,0.4786300923226383,10.81,724.4359600749899,0.37,131,N/A,9.86,2.0417379446695275E-7,0.001995262314968879,-3.99,-2.09,0
AMPICILLIN,Approved Name,DTXSID4022602,Ampicillin,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O,2.344228815319918E-11,2.9512092266663856,34.673685045253166,331,1.5135612484362072E-11,0.19498445997580455,9.34,87.09635899560806,1.35,167,5.86,N/A,1.621810097358933E-10,0.028840315031266057,1.19,-0.2,0
CEPHALEXIN,Approved Name,DTXSID9022780,Cephalexin,[H][C@]12SCC(C)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O,6.309573444801942E-11,2.9512092266663856,35.48133892335755,311,1.5488166189124796E-11,0.19498445997580455,9.36,89.12509381337455,0.65,151,6.6,N/A,5.370317963702532E-10,0.005128613839913648,0.62,-0.21,0
GABAPENTIN,Approved Name,DTXSID0020074,Gabapentin,NCC1(CC(O)=O)CCCCC1,1.3182567385564048E-11,2.884031503126606,3.715352290971725,276,3.0199517204020194E-8,0.2691534803926916,7.92,125.89254117941675,-1.1,202,3.92,N/A,0.0005248074602497728,0.1778279410038923,-2.69,-4.58,1
PREGABALIN,Approved Name,DTXSID1045950,Pregabalin,CC(C)C[C@H](CN)CC(O)=O,1.3182567385564048E-11,3.4673685045253166,3.548133892335755,276,3.162277660168379E-8,0.14791083881682077,7.85,75.85775750291836,-1.99,250,4.08,N/A,0.01148153621496883,0.8709635899560807,-3.43,-5.31,1
ACYCLOVIR,Approved Name,DTXSID1022556,Acyclovir,NC1=NC(=O)C2=C(N1)N(COCCO)C=N2,9.332543007969923E-12,1.5848931924611136,4.466835921509632,337,1.7378008287493763E-10,0.3801893963205612,9.21,35.48133892335755,-1.03,253,7.06,5.23,6.165950018614809E-10,0.09772372209558107,-1.76,-2.31,0
