Drug,ChEMBL_ID,MW,PSA,HBD,HBA,LogP,Fu_median,N_fu,Fu_values,Fu_flag,SMILES,PPB_value,Fu_from_PPB,N_ppb,Fu_source,Fu_final
NALTREXONE,CHEMBL19019,341.41,70.00,2,5,1.53,0.79,1,0.79,NA,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,NA,NA,NA,ChEMBL_Fu,0.79
NICOTINE,CHEMBL3,162.24,16.13,0,2,1.85,0.95,3,"0.95, 0.95, 0.95",NA,CN1CCC[C@H]1c1cccnc1,NA,NA,NA,ChEMBL_Fu,0.95
NORTRIPTYLINE,CHEMBL445,263.38,12.03,1,1,3.83,0.12,3,"0.12, 0.12, 0.006",NA,CNCCC=C1c2ccccc2CCc2ccccc21,NA,NA,NA,ChEMBL_Fu,0.12
PAROXETINE,CHEMBL490,329.37,39.72,1,4,3.33,0.074,7,"0.05, 0.06, 0.005, 0.074, 0.089, 0.099, 0.136",NA,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,NA,NA,NA,ChEMBL_Fu,0.074
PEFLOXACIN,CHEMBL267648,333.36,65.78,1,5,1.61,0.75,1,0.75,NA,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,NA,NA,NA,ChEMBL_Fu,0.75
PREDNISOLONE,CHEMBL131,360.45,94.83,3,5,1.56,0.25,5,"0.075, 0.075, 0.25, 0.98, 0.41",NA,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,NA,NA,NA,ChEMBL_Fu,0.25
PROPRANOLOL,CHEMBL27,259.35,41.49,2,3,2.58,0.216,11,"0.13, 0.1, 0.13, 0.216, 0.213, 0.231, 0.315, 0.15, 0.915, 0.421, 0.244",NA,CC(C)NCC(O)COc1cccc2ccccc12,NA,NA,NA,ChEMBL_Fu,0.216
QUININE,CHEMBL170,324.42,45.59,1,4,3.17,0.3,1,0.3,NA,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,NA,NA,NA,ChEMBL_Fu,0.3
RISPERIDONE,CHEMBL85,410.49,64.16,0,6,3.59,0.1745,8,"0.11, 0.11, 0.1, 0.163, 0.222, 0.186, 0.276, 0.932",NA,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,NA,NA,NA,ChEMBL_Fu,0.1745
SUMATRIPTAN,CHEMBL128,295.41,65.20,2,3,1.32,0.82,4,"0.82, 0.82, 0.83, 0.68",NA,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,NA,NA,NA,ChEMBL_Fu,0.82
TEMAZEPAM,CHEMBL967,300.75,52.90,1,3,2.47,NA,0,NA,NA,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,NA,NA,0,NA,NA
TIMOLOL,CHEMBL499,316.43,79.74,2,8,0.50,0.9,3,"0.9, 0.9, 0.988",NA,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,NA,NA,NA,ChEMBL_Fu,0.9
TRIPROLIDINE,CHEMBL855,278.40,16.13,0,2,3.92,NA,0,NA,NA,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1,35.46,0.6454,1,ChEMBL_PPB,0.6454
VENLAFAXINE,CHEMBL637,277.41,32.70,1,3,3.04,0.73,2,"0.73, 0.73",NA,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,NA,NA,NA,ChEMBL_Fu,0.73
VERAPAMIL,CHEMBL6966,454.61,63.95,0,6,5.09,0.14550000000000002,8,"0.1, 0.093, 0.137, 0.154, 0.16, 0.233, 0.79, 0.01",NA,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,NA,NA,NA,ChEMBL_Fu,0.14550000000000002
ZIDOVUDINE,CHEMBL129,267.24,133.08,2,6,-0.20,0.77,3,"0.77, 0.8, 0.695",NA,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,NA,NA,NA,ChEMBL_Fu,0.77
ZOLPIDEM,CHEMBL911,307.40,37.61,0,3,3.25,0.08,1,0.08,NA,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,NA,NA,NA,ChEMBL_Fu,0.08
ABACAVIR,CHEMBL1380,286.34,101.88,3,7,1.09,0.5,1,0.5,NA,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,NA,NA,NA,ChEMBL_Fu,0.5
APIXABAN,CHEMBL231779,459.51,110.76,1,6,2.70,0.07,1,0.07,NA,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,NA,NA,NA,ChEMBL_Fu,0.07
BUDESONIDE,CHEMBL1370,430.54,93.06,2,6,2.72,0.13,1,0.13,NA,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,NA,NA,NA,ChEMBL_Fu,0.13
DOXAZOSIN,CHEMBL707,451.48,112.27,1,9,1.72,0.017,1,0.017,NA,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC,NA,NA,NA,ChEMBL_Fu,0.017
ESTRADIOL,CHEMBL135,272.39,40.46,2,2,3.61,0.015,3,"0.015, 0.015, 0.016",NA,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,NA,NA,NA,ChEMBL_Fu,0.015
ALCOHOL,CHEMBL545,46.07,20.23,1,1,0.00,NA,0,NA,NA,CCO,NA,NA,0,NA,NA
LIDOCAINE,CHEMBL79,234.34,32.34,1,2,2.58,0.303,5,"0.3, 0.3, 0.33, 0.303, 0.959",NA,CCN(CC)CC(=O)Nc1c(C)cccc1C,NA,NA,NA,ChEMBL_Fu,0.303
LORAZEPAM,CHEMBL580,321.16,61.69,2,3,3.10,0.09,4,"0.09, 0.09, 0.09, 0.057",NA,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,NA,NA,NA,ChEMBL_Fu,0.09
MIRTAZAPINE,CHEMBL654,265.36,19.37,0,3,2.48,0.16,7,"0.15, 0.15, 0.16, 0.266, 0.286, 0.32, 0.15",NA,CN1CCN2c3ncccc3Cc3ccccc3C2C1,NA,NA,NA,ChEMBL_Fu,0.16
PANTOPRAZOLE,CHEMBL1502,383.38,92.32,1,6,2.88,0.02,1,0.02,NA,COc1ccnc(C[S+]([O-])c2nc3cc(OC(F)F)ccc3[nH]2)c1OC,NA,NA,NA,ChEMBL_Fu,0.02
