Drug,ChEMBL_ID,MW,PSA,HBD,HBA,LogP,Fu_median,N_fu,Fu_values,Fu_flag,SMILES,PPB_value,Fu_from_PPB,N_ppb,Fu_source,Fu_final,pKa_exp,N_pka,pKa_values,LogD74_exp,N_logd,LogD_values
CHLOROQUINE,CHEMBL76,319.88,28.16,1,3,4.81,0.43,1,0.43,NA,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,NA,NA,NA,ChEMBL_Fu,0.43,9.9,11,"10.2, 9.9, 10.27, 9.94, 9.94, 8.41, 8.1, 10.8, 8.4, 8.38, 8.5",0.89,9,"0.85, 0.06, 0.85, 0.9, 0.9, 2, 0.89, 0.92, 0.85"
CIMETIDINE,CHEMBL30,252.35,88.89,3,4,0.60,0.81,3,"0.81, 0.81, 0.78",NA,CN/C(=N\CCSCc1nc[nH]c1C)NC#N,NA,NA,NA,ChEMBL_Fu,0.81,6.885,12,"6.97, 6.97, 6.4, 14, 6.8, 6.8, 7.02, 6.8, 6.97, 6.76, 6.8, 7",0.315,4,"0.35, 0.29, 0.34, -0.4"
DISOPYRAMIDE,CHEMBL517,339.48,59.22,1,3,3.36,0.16,1,0.16,NA,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,NA,NA,NA,ChEMBL_Fu,0.16,10.32,3,"10.4, 10.1, 10.32",-0.66,1,-0.66
FAMOTIDINE,CHEMBL902,337.46,175.83,4,6,-0.77,0.84,1,0.84,NA,NC(N)=Nc1nc(CSCC/C(N)=N/S(N)(=O)=O)cs1,NA,NA,NA,ChEMBL_Fu,0.84,7.1,3,"7.1, 7.1, 0.02",NA,0,NA
FLECAINIDE,CHEMBL652,414.35,59.59,2,4,3.44,0.39,3,"0.39, 0.39, 0.52",NA,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,NA,NA,NA,ChEMBL_Fu,0.39,9.3,5,"9.3, 9.3, 9.3, 9.3, 9.28",0.97,1,0.97
FLUCONAZOLE,CHEMBL106,306.28,81.65,1,7,0.74,0.89,5,"0.89, 0.89, 0.89, 0.89, 0.9",NA,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,NA,NA,NA,ChEMBL_Fu,0.89,NA,0,NA,0.425,6,"0.5, 0.41, 0.44, 0.4, 0.4, 0.5"
METFORMIN,CHEMBL1431,129.17,88.99,4,2,-1.03,1,1,1,FLAG: contains 0 or 1,CN(C)C(=N)NC(=N)N,NA,NA,NA,ChEMBL_Fu,1,11.25,4,"11.5, 11, 12.4, 2.8",-3.37,2,"-3.37, -3.37"
METOCLOPRAMIDE,CHEMBL86,299.80,67.59,2,4,2.00,0.6,4,"0.6, 0.6, 0.6, 0.295",NA,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,NA,NA,NA,ChEMBL_Fu,0.6,9.455,8,"9.33, 9.51, 9.3, 9.59, 9.59, 9.51, 9.4, 9.33",0.64,3,"0.64, 3.31, 0"
NADOLOL,CHEMBL521606,309.41,81.95,4,5,0.63,0.42,2,"0.7, 0.14",NA,CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,NA,NA,NA,ChEMBL_Fu,0.42,9.67,8,"9.67, 9.7, 9.67, 2.37, 9.69, 9.67, 9.9, 9.3",-0.25999999999999995,2,"0.68, -1.2"
OFLOXACIN,CHEMBL4,361.37,75.01,1,6,1.54,0.75,1,0.75,NA,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,NA,NA,NA,ChEMBL_Fu,0.75,8.31,1,8.31,NA,0,NA
PILSICAINIDE,CHEMBL163238,272.39,32.34,1,2,3.26,NA,0,NA,NA,Cc1cccc(C)c1NC(=O)CC12CCCN1CCC2,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA
PSEUDOEPHEDRINE,CHEMBL1590,165.24,32.26,2,2,1.33,NA,0,NA,NA,CN[C@@H](C)[C@@H](O)c1ccccc1,NA,NA,0,NA,NA,10.055,2,"10.25, 9.86",NA,0,NA
PYRIDOSTIGMINE,CHEMBL1115,181.22,33.42,0,2,0.57,1,1,1,FLAG: contains 0 or 1,CN(C)C(=O)Oc1ccc[n+](C)c1,NA,NA,NA,ChEMBL_Fu,1,NA,0,NA,NA,0,NA
PYRIMETHAMINE,CHEMBL36,248.72,77.82,2,4,2.52,0.095,1,0.095,NA,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,NA,NA,NA,ChEMBL_Fu,0.095,7.36,1,7.36,1.93,1,1.93
SOTALOL,CHEMBL471,272.37,78.43,3,4,1.09,0.81,2,"1, 0.62",FLAG: contains 0 or 1,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,NA,NA,NA,ChEMBL_Fu,0.81,9.76,2,"9.76, 9.76",-1.35,1,-1.35
STAVUDINE,CHEMBL991,224.22,84.32,2,5,-0.71,1,1,1,FLAG: contains 0 or 1,Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)[nH]c1=O,NA,NA,NA,ChEMBL_Fu,1,NA,0,NA,NA,0,NA
TERBUTALINE,CHEMBL1760,225.29,72.72,4,4,1.52,0.8,3,"0.8, 0.8, 0.75",NA,CC(C)(C)NCC(O)c1cc(O)cc(O)c1,NA,NA,NA,ChEMBL_Fu,0.8,8.7,9,"11.1, 8.7, 8.7, 8.8, 8.67, 8.65, 8.7, 8.8, 10",-1.4,1,-1.4
DIGOXIN,CHEMBL1751,780.95,203.06,6,14,2.22,0.44999999999999996,2,"0.7, 0.2",NA,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,NA,NA,NA,ChEMBL_Fu,0.44999999999999996,NA,0,NA,NA,0,NA
LAMIVUDINE,CHEMBL141,229.26,90.37,2,7,-0.59,0.94,1,0.94,NA,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,NA,NA,NA,ChEMBL_Fu,0.94,NA,0,NA,NA,0,NA
LEVETIRACETAM,CHEMBL1286,170.21,63.40,1,2,-0.13,NA,0,NA,NA,CC[C@@H](C(N)=O)N1CCCC1=O,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA
NIZATIDINE,CHEMBL3183075,331.47,83.33,2,8,1.32,0.78,3,"0.78, 0.78, 0.65",NA,CNC(=C[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1,NA,NA,NA,ChEMBL_Fu,0.78,6.59,3,"6.59, 6.59, 6.8",-0.52,1,-0.52
AMPICILLIN,CHEMBL174,349.41,112.73,3,5,0.32,0.85,1,0.85,NA,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,NA,NA,NA,ChEMBL_Fu,0.85,4.895,4,"2.55, 7.14, 2.65, 7.25",NA,0,NA
CEPHALEXIN,CHEMBL1200544,365.41,112.73,3,5,0.44,NA,0,NA,NA,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1.O,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA
GABAPENTIN,CHEMBL940,171.24,63.32,2,2,1.37,0.97,1,0.97,NA,NCC1(CC(=O)O)CCCCC1,NA,NA,NA,ChEMBL_Fu,0.97,4.1,3,"4.1, 3.9, 10.5",NA,0,NA
PREGABALIN,CHEMBL1059,159.23,63.32,2,2,1.08,NA,0,NA,NA,CC(C)C[C@H](CN)CC(=O)O,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA
ACYCLOVIR,CHEMBL184,225.21,119.05,3,7,-1.33,0.825,2,"0.8, 0.85",NA,Nc1nc2c(ncn2COCCO)c(=O)[nH]1,NA,NA,NA,ChEMBL_Fu,0.825,NA,0,NA,NA,0,NA
APAZONE,CHEMBL1565476,300.36,56.22,0,4,2.06,0.004,1,0.004,NA,CCCC1C(=O)N2C(N(C)C)=Nc3ccc(C)cc3N2C1=O,NA,NA,NA,ChEMBL_Fu,0.004,5.8,5,"5.8, 2, 6.3, 0.15, 6.46",NA,0,NA
CANDESARTAN,CHEMBL1016,440.46,118.81,2,7,4.03,NA,0,NA,NA,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,NA,NA,0,NA,NA,3.9,3,"3.9, 5.3, 3.9",NA,0,NA
CEFPROZIL,CHEMBL3301800,389.43,132.96,4,6,0.71,0.59,1,0.59,NA,CC=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,NA,NA,NA,ChEMBL_Fu,0.59,NA,0,NA,NA,0,NA
CIPROFLOXACIN,CHEMBL8,331.35,74.57,2,5,1.58,0.74,3,"0.7, 0.74, 0.821",NA,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,NA,NA,NA,ChEMBL_Fu,0.74,6.225,6,"6.2, 6.16, 8.62, 6.25, 6.02, 8.62",-0.94,3,"-0.94, -0.98, -0.7"
NITROFURANTOIN,CHEMBL572,238.16,118.05,1,6,0.07,0.28500000000000003,2,"0.17, 0.4",NA,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,NA,NA,NA,ChEMBL_Fu,0.28500000000000003,NA,0,NA,NA,0,NA
PENICILLIN V,CHEMBL615,350.40,95.94,2,5,0.70,0.45,1,0.45,NA,CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)O,NA,NA,NA,ChEMBL_Fu,0.45,2.735,1,2.735,NA,0,NA
SULFISOXAZOLE,CHEMBL453,267.31,98.22,2,5,1.67,0.079,1,0.079,NA,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,NA,NA,NA,ChEMBL_Fu,0.079,5,3,"5, 5, 4.8",NA,0,NA
AMISULPRIDE,CHEMBL243712,369.49,101.73,2,6,1.29,NA,0,NA,NA,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,NA,NA,0,NA,NA,9.335,2,"9.3, 9.37",NA,0,NA
PALIPERIDONE,CHEMBL1621,426.49,84.39,1,7,3.08,0.116,1,0.116,NA,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,NA,NA,NA,ChEMBL_Fu,0.116,NA,0,NA,NA,0,NA
ROXITHROMYCIN,CHEMBL1214185,837.06,216.89,5,17,2.21,NA,0,NA,NA,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)/C(=N\OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O,NA,NA,0,NA,NA,9.235,2,"9.2, 9.27",NA,0,NA
ACETAZOLAMIDE,CHEMBL20,222.25,115.04,2,6,-0.86,0.04,1,0.04,NA,CC(=O)Nc1nnc(S(N)(=O)=O)s1,NA,NA,NA,ChEMBL_Fu,0.04,7.4,7,"7.4, 7.4, 7.2, 7.4, 7.4, 7.4, 7",-0.2595,2,"0.001, -0.52"
LEVONORGESTREL,CHEMBL1389,312.45,37.30,1,2,3.88,0.025,1,0.025,NA,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,NA,NA,NA,ChEMBL_Fu,0.025,NA,0,NA,NA,0,NA
MEDROXYPROGESTERONE ACETATE,CHEMBL717,386.53,60.44,0,4,4.66,NA,0,NA,NA,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA
FLEROXACIN,CHEMBL6273,369.34,65.78,1,5,1.70,0.73,1,0.73,NA,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1,NA,NA,NA,ChEMBL_Fu,0.73,6.85,4,"5.5, 8.2, 8.8, 5.5",NA,0,NA
FEXOFENADINE,CHEMBL914,501.67,81.00,3,4,5.51,0.00421,1,0.00421,NA,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,NA,NA,NA,ChEMBL_Fu,0.00421,4.7,3,"4.2, 4.7, 9.3",0.3,1,0.3
