Drug,ChEMBL_ID,MW,PSA,HBD,HBA,LogP,Fu_median,N_fu,Fu_values,Fu_flag,SMILES,PPB_value,Fu_from_PPB,N_ppb,Fu_source,Fu_final,pKa_exp,N_pka,pKa_values,LogD74_exp,N_logd,LogD_values
DIAZEPAM,CHEMBL12,284.75,32.67,0,2,3.15,0.02,9,"0.013, 0.02, 0.023, 0.023, 0.019, 0.016, 0.019, 0.02, 0.023",NA,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,NA,NA,NA,ChEMBL_Fu,0.02,3.55,5,"3.55, 3.55, 3.4, 3.6, 0.09",3.16,4,"2.79, 3.53, 3.64, 2.1"
DOTHIEPIN,CHEMBL1492500,295.45,3.24,0,2,4.68,NA,0,NA,NA,CN(C)CC/C=C1\c2ccccc2CSc2ccccc21,NA,NA,0,NA,NA,9.25,1,9.25,2.66,1,2.66
DOXEPIN,CHEMBL1628227,279.38,12.47,0,2,3.96,0.2,1,0.2,NA,CN(C)CCC=C1c2ccccc2COc2ccccc21,NA,NA,NA,ChEMBL_Fu,0.2,9,5,"9, 8, 9, 9.37, 8",2.217,5,"2.27, 2.217, 2.199, 2.217, 2.3"
DULOXETINE,CHEMBL1175,297.42,21.26,1,3,4.63,NA,0,NA,NA,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,NA,NA,0,NA,NA,9.97,1,9.97,NA,0,NA
ESCITALOPRAM,CHEMBL1508,324.40,36.26,0,3,3.81,NA,0,NA,NA,CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA
FLUOXETINE,CHEMBL41,309.33,21.26,1,2,4.44,0.06,5,"0.04, 0.063, 0.056, 0.079, 0.06",NA,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,NA,NA,NA,ChEMBL_Fu,0.06,10.2,6,"10.2, 10.2, 9.5, 10.2, 10.1, 10.5",2.92,2,"2.84, 3"
FLUVOXAMINE,CHEMBL814,318.34,56.84,1,4,3.20,0.022,1,0.022,NA,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,NA,NA,NA,ChEMBL_Fu,0.022,9.45,2,"9.5, 9.4",2.41,1,2.41
HYDRALAZINE,CHEMBL276832,160.18,63.83,2,4,0.92,0.12,1,0.12,NA,NNc1nncc2ccccc12,NA,NA,NA,ChEMBL_Fu,0.12,7.3,1,7.3,NA,0,NA
HYDROMORPHONE,CHEMBL398707,285.34,49.77,1,4,1.63,0.86,1,0.86,NA,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5,NA,NA,NA,ChEMBL_Fu,0.86,NA,0,NA,NA,0,NA
HYDROXYCHLOROQUINE,CHEMBL1535,335.88,48.39,2,4,3.78,0.57,1,0.57,NA,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,NA,NA,NA,ChEMBL_Fu,0.57,NA,0,NA,NA,0,NA
IMIPRAMINE,CHEMBL11,280.42,6.48,0,2,3.88,0.13849999999999998,8,"0.1, 0.1, 0.075, 0.105, 0.172, 0.181, 0.22, 0.472",NA,CN(C)CCCN1c2ccccc2CCc2ccccc21,NA,NA,NA,ChEMBL_Fu,0.13849999999999998,9.5,15,"9.51, 9.45, 9.5, 9.5, 3.52, 9.5, 9.45, 2.1, 9.51, 9.45, 9.4, 10.2, 9.5, 9.5, 9",2.455,10,"2.52, 2.31, 2.4, 2.49, 2.581, 2.49, 1.33, 1.43, 2.52, 2.42"
ISONIAZID,CHEMBL64,137.14,68.01,2,3,-0.31,1,1,1,FLAG: contains 0 or 1,NNC(=O)c1ccncc1,NA,NA,NA,ChEMBL_Fu,1,0.925,2,"1.8, 0.05",NA,0,NA
LEVODOPA,CHEMBL1009,197.19,103.78,4,4,0.05,0.76,1,0.76,NA,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,NA,NA,NA,ChEMBL_Fu,0.76,7.470000000000001,2,"12.73, 2.21",-1.22,1,-1.22
