Supplementary Table 8. In Vitro-to-In Vivo Extrapolation Input and Output,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,CASRN,MW,Raw.Experimental.Percentage.Unbound,Entered.Experimental.Percentage.Unbound,Fub,source_PPB,Renal_Clearance,Met_Stab,Met_Stab_entered,r2,p.val,Concentration..uM.,Css_lower_5th_perc.mg.L.,Css_median_perc.mg.L.,Css_upper_95th_perc.mg.L.,Css_lower_5th_perc.uM.,Css_median_perc.uM.,Css_upper_95th_perc.uM.,Assay,AC50,Lower.Oral.Equivalent(mg/kg),Median.Oral.Equivalent(mg/kg),Upper.Oral.Equivalent(mg/kg),,
"2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane (HPTE)",2971-36-0,317.594,0,0.5,0.005,D,0.03355,136.5009,136.5009,0.924349844,3.57E-05,1,0.214,0.394,0.921,0.673816256,1.240577593,2.89992884,BSK_BE3C_IL1a_up,4.444444,1.532604503,3.582560273,6.595928727,,
"2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane (HPTE)",2971-36-0,317.594,0,0.5,0.005,D,0.03355,56.8622,56.8622,0.983081687,6.67E-13,10,0.51,0.938,2.184,1.605823788,2.9534563,6.87670422,BSK_BE3C_IP10_down,13.333333,1.93891326,4.514484606,8.303110901,,
"2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane (HPTE)",2971-36-0,317.594,0,0.5,0.005,D,0.03355,56.8622,56.8622,0.983081687,6.67E-13,10,0.51,0.938,2.184,1.605823788,2.9534563,6.87670422,BSK_BE3C_MMP1_up,13.333333,1.93891326,4.514484606,8.303110901,,
"2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane (HPTE)",2971-36-0,317.594,0,0.5,0.005,D,0.03355,56.8622,56.8622,0.983081687,6.67E-13,10,0.51,0.938,2.184,1.605823788,2.9534563,6.87670422,BSK_BE3C_SRB_down,40,5.816739927,13.54345416,24.90933333,,
"2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane (HPTE)",2971-36-0,317.594,0,0.5,0.005,D,0.03355,56.8622,56.8622,0.983081687,6.67E-13,10,0.51,0.938,2.184,1.605823788,2.9534563,6.87670422,BSK_hDFCGF_CollagenIII_down,13.333333,1.93891326,4.514484606,8.303110901,,
"2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane (HPTE)",2971-36-0,317.594,0,0.5,0.005,D,0.03355,56.8622,56.8622,0.983081687,6.67E-13,10,0.51,0.938,2.184,1.605823788,2.9534563,6.87670422,BSK_hDFCGF_EGFR_down,13.333333,1.93891326,4.514484606,8.303110901,,
"2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane (HPTE)",2971-36-0,317.594,0,0.5,0.005,D,0.03355,56.8622,56.8622,0.983081687,6.67E-13,10,0.51,0.938,2.184,1.605823788,2.9534563,6.87670422,BSK_hDFCGF_IP10_down,13.333333,1.93891326,4.514484606,8.303110901,,
"2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane (HPTE)",2971-36-0,317.594,0,0.5,0.005,D,0.03355,56.8622,56.8622,0.983081687,6.67E-13,10,0.51,0.938,2.184,1.605823788,2.9534563,6.87670422,BSK_hDFCGF_MCSF_down,13.333333,1.93891326,4.514484606,8.303110901,,
"2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane (HPTE)",2971-36-0,317.594,0,0.5,0.005,D,0.03355,56.8622,56.8622,0.983081687,6.67E-13,10,0.51,0.938,2.184,1.605823788,2.9534563,6.87670422,BSK_hDFCGF_MIG_down,13.333333,1.93891326,4.514484606,8.303110901,,
"2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane (HPTE)",2971-36-0,317.594,0,0.5,0.005,D,0.03355,56.8622,56.8622,0.983081687,6.67E-13,10,0.51,0.938,2.184,1.605823788,2.9534563,6.87670422,BSK_hDFCGF_PAI1_down,13.333333,1.93891326,4.514484606,8.303110901,,
